payload_detail	payload	response	response_detail	statelist	unique_response
b'101100064d5149736470030011a400036d5277330a000174ec106c627347385257d7fb'	b'\x10\x11\x00\x06MQIsdp\x03\x00\x11\xa4\x00\x03mRw3\n\x00\x01t\xec\x10lbsG8RW\xd7\xfb'	b' \x02\x00\x00@\x02\xec\x10'	b'200200004002ec10'	[]	1
b'101200044d5154540482040e00036b474c000159390b00097935335a4c546d794b6a85af2100'	b'\x10\x12\x00\x04MQTT\x04\x82\x04\x0e\x00\x03kGL\x00\x01Y9\x0b\x00\ty53ZLTmyKj\x85\xaf!\x00'	b' \x02\x00\x00'	b'20020000'	[]	2
b'100f00044d515454040286cb0003366c6ab47034120002336bfa67456562796a78517561e1'	b'\x10\x0f\x00\x04MQTT\x04\x02\x86\xcb\x00\x036lj\xb4p4\x12\x00\x023k\xfagEebyjxQua\xe1'	b' \x02\x00\x00'	b'20020000'	[]	2
b'100c00044d51545404020c390000ac901000143d0f000156dd85435875666837737a394e6ddf'	b'\x10\x0c\x00\x04MQTT\x04\x02\x0c9\x00\x00\xac\x90\x10\x00\x14=\x0f\x00\x01V\xdd\x85CXufh7sz9Nm\xdf'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101200064d51497364700302d20600044c536b59390c0009725a706d39576c786d68331260'	b'\x10\x12\x00\x06MQIsdp\x03\x02\xd2\x06\x00\x04LSkY9\x0c\x00\trZpm9Wlxmh3\x12`'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101100064d51497364700340512c00034c434a0034100003463346dc7f5a3776456970753340'	b'\x10\x11\x00\x06MQIsdp\x03@Q,\x00\x03LCJ\x004\x10\x00\x03F3F\xdc\x7fZ7vEipu3@'	b''	b''	[]	3
b'100d00044d5154540400359300014a900024f03211000952346f74476e6a413534054a31fa'	b'\x10\r\x00\x04MQTT\x04\x005\x93\x00\x01J\x90\x00$\xf02\x11\x00\tR4otGnjA54\x05J1\xfa'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101100044d5154540402b9f100056a643736523b12000047c37a746b4e67377765638477'	b'\x10\x11\x00\x04MQTT\x04\x02\xb9\xf1\x00\x05jd76R;\x12\x00\x00G\xc3ztkNg7wec\x84w'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100e00064d51497364700302ff8c000082bfa8340d00056f7456306dd5c031786435380c'	b'\x10\x0e\x00\x06MQIsdp\x03\x02\xff\x8c\x00\x00\x82\xbf\xa84\r\x00\x05otV0m\xd5\xc01xd58\x0c'	b' \x02\x00\x02'	b'20020002'	[]	4
b'101200044d515454040007e400063952556f796d3b070003657334adac605dd680e003a0'	b'\x10\x12\x00\x04MQTT\x04\x00\x07\xe4\x00\x069RUoym;\x07\x00\x03es4\xad\xac`]\xd6\x80\xe0\x03\xa0'	b' \x02\x00\x00'	b'20020000'	[]	4
